Назив на отворениот инвестиционен фонд,Датум на пресметка на документот за удел,Датум на вреднување,Дневна последна продажна цена на документот за удел,Дневна просечна продажна цена на документот за удел,Дневна откупна цена на документот за удел
ВФП Кеш Депозит,2025-10-17,16.10.2025,122.3614,122.3614,122.3614
КБ Инвест Паричен,2025-10-17,16.10.2025,143.1847,143.1847,143.1847
НЛБ Топ Брендови,2025-10-17,16.10.2025,188.777,188.777,188.777
Граве Флекс Бонд Евро,2025-10-17,16.10.2025,117.36,117.36,117.36
НЛБ Обврзници,2025-10-17,16.10.2025,104.4724,104.4724,104.4724
ВФП Етикс Акции,2025-10-17,16.10.2025,102.6794,102.6794,102.6794
НЛБ Кеш Депозит,2025-10-17,16.10.2025,134.274,134.274,134.274
КБ Инвест - МБИ 10,2025-10-17,16.10.2025,436.4939,436.4939,436.4939
НЛБ БРИК,2025-10-17,16.10.2025,169.0962,169.0962,169.0962
НЛБ Америка,2025-10-17,16.10.2025,184.2525,184.2525,184.2525
КБ Инвест - Балансиран,2025-10-17,16.10.2025,248.3545,248.3545,248.3545
КБ Инвест - Обврзници,2025-10-17,16.10.2025,158.179,158.179,158.179
Иново Статус Балансиран,2025-10-17,16.10.2025,45.1239,45.1239,45.1239
ВФП Премиум Акции,2025-10-17,16.10.2025,196.4255,196.4255,196.4255
ВЕГА СВЕТ,2025-10-17,16.10.2025,115.9939,115.9939,115.9939
ВФП БОНД,2025-10-17,16.10.2025,130.4092,130.4092,130.4092
ВЕГА КЕШ,2025-10-17,16.10.2025,109.8776,109.8776,109.8776
ВЕГА ТЕХНОЛОГИЈА,2025-10-17,16.10.2025,198.6915,198.6915,198.6915
ВЕГА ФИНАНСИИ,2025-10-17,16.10.2025,168.3363,168.3363,168.3363
Иново Статус Солар,2025-10-17,16.10.2025,70.2702,70.2702,70.2702
КБ Инвест - Златен фонд,2025-10-17,16.10.2025,203.7203,203.7203,203.7203
КБ Инвест - Акции,2025-10-17,16.10.2025,139.074,139.074,139.074
ВФП Дивиденда Акции,2025-10-17,16.10.2025,162.0765,162.0765,162.0765
Граве Глобал,2025-10-17,16.10.2025,175.2868,175.2868,175.2868
КБ Инвест - МБИ 10,2025-10-16,15.10.2025,437.3828,437.3828,437.3828
Иново Статус Балансиран,2025-10-16,15.10.2025,45.1938,45.1938,45.1938
НЛБ Обврзници,2025-10-16,15.10.2025,104.4016,104.4016,104.4016
ВФП Етикс Акции,2025-10-16,15.10.2025,103.7242,103.7242,103.7242
Граве Флекс Бонд Евро,2025-10-16,15.10.2025,117.3372,117.3372,117.3372
Иново Статус Солар,2025-10-16,15.10.2025,71.8945,71.8945,71.8945
ВЕГА ТЕХНОЛОГИЈА,2025-10-16,15.10.2025,199.8634,199.8634,199.8634
ВЕГА ФИНАНСИИ,2025-10-16,15.10.2025,170.1816,170.1816,170.1816
ВЕГА СВЕТ,2025-10-16,15.10.2025,116.9386,116.9386,116.9386
НЛБ Кеш Депозит,2025-10-16,15.10.2025,134.2745,134.2745,134.2745
ВЕГА КЕШ,2025-10-16,15.10.2025,109.8699,109.8699,109.8699
Граве Глобал,2025-10-16,15.10.2025,175.5281,175.5281,175.5281
КБ Инвест - Златен фонд,2025-10-16,15.10.2025,199.3609,199.3609,199.3609
ВФП БОНД,2025-10-16,15.10.2025,130.4132,130.4132,130.4132
КБ Инвест Паричен,2025-10-16,15.10.2025,143.2025,143.2025,143.2025
ВФП Кеш Депозит,2025-10-16,15.10.2025,122.3717,122.3717,122.3717
КБ Инвест - Обврзници,2025-10-16,15.10.2025,158.123,158.123,158.123
НЛБ БРИК,2025-10-16,15.10.2025,169.8926,169.8926,169.8926
ВФП Дивиденда Акции,2025-10-16,15.10.2025,163.3063,163.3063,163.3063
НЛБ Америка,2025-10-16,15.10.2025,186.1831,186.1831,186.1831
КБ Инвест - Балансиран,2025-10-16,15.10.2025,248.3203,248.3203,248.3203
КБ Инвест - Акции,2025-10-16,15.10.2025,139.7072,139.7072,139.7072
НЛБ Топ Брендови,2025-10-16,15.10.2025,189.755,189.755,189.755
ВФП Премиум Акции,2025-10-16,15.10.2025,196.1242,196.1242,196.1242
ВЕГА КЕШ,2025-10-15,14.10.2025,109.8622,109.8622,109.8622
ВЕГА ФИНАНСИИ,2025-10-15,14.10.2025,169.5591,169.5591,169.5591
НЛБ Америка,2025-10-15,14.10.2025,185.0669,185.0669,185.0669
КБ Инвест Паричен,2025-10-15,14.10.2025,143.2428,143.2428,143.2428
КБ Инвест - Обврзници,2025-10-15,14.10.2025,157.9333,157.9333,157.9333
КБ Инвест - Балансиран,2025-10-15,14.10.2025,247.6255,247.6255,247.6255
КБ Инвест - МБИ 10,2025-10-15,14.10.2025,436.8513,436.8513,436.8513
НЛБ Обврзници,2025-10-15,14.10.2025,104.2627,104.2627,104.2627
НЛБ Топ Брендови,2025-10-15,14.10.2025,188.449,188.449,188.449
ВФП Етикс Акции,2025-10-15,14.10.2025,102.8026,102.8026,102.8026
Иново Статус Солар,2025-10-15,14.10.2025,69.4233,69.4233,69.4233
Иново Статус Балансиран,2025-10-15,14.10.2025,45.2024,45.2024,45.2024
ВЕГА ТЕХНОЛОГИЈА,2025-10-15,14.10.2025,195.6356,195.6356,195.6356
Граве Флекс Бонд Евро,2025-10-15,14.10.2025,117.2765,117.2765,117.2765
НЛБ БРИК,2025-10-15,14.10.2025,167.3422,167.3422,167.3422
НЛБ Кеш Депозит,2025-10-15,14.10.2025,134.2751,134.2751,134.2751
ВФП БОНД,2025-10-15,14.10.2025,130.1129,130.1129,130.1129
ВФП Премиум Акции,2025-10-15,14.10.2025,195.114,195.114,195.114
КБ Инвест - Златен фонд,2025-10-15,14.10.2025,194.1006,194.1006,194.1006
ВФП Кеш Депозит,2025-10-15,14.10.2025,122.3946,122.3946,122.3946
Граве Глобал,2025-10-15,14.10.2025,174.759,174.759,174.759
ВФП Дивиденда Акции,2025-10-15,14.10.2025,161.894,161.894,161.894
